Anio,Tipo,Sector,Gas,Cantidad
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,Hg (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,Ni (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,Pb (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,Se (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,Zn (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,"PM2,5 (t)",0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,PM10 (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,PST (t),0.0
1990,METALES PESADOS,Extracción y distribución de combustibles fósiles y energía geotérmica,BC (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,As (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,Cd (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,Cr (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,Cu (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,Hg (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,Ni (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,Pb (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,Se (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,Zn (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,"PM2,5 (t)",0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,PM10 (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,PST (t),0.0
1990,METALES PESADOS,Uso de disolventes y otros productos,BC (t),0.0
1990,METALES PESADOS,Transporte por carretera,As (t),0.0032223030000000006
1990,METALES PESADOS,Transporte por carretera,Cd (t),0.20247933099999998
1990,METALES PESADOS,Transporte por carretera,Cr (t),3.797573534
1990,METALES PESADOS,Transporte por carretera,Cu (t),75.47538919000003
1990,METALES PESADOS,Transporte por carretera,Hg (t),0.11213789399999999
1990,METALES PESADOS,Transporte por carretera,Ni (t),0.37935470099999996
1990,METALES PESADOS,Transporte por carretera,Pb (t),2579.4872824489994
1990,METALES PESADOS,Transporte por carretera,Se (t),0.0024078099999999994
1990,METALES PESADOS,Transporte por carretera,Zn (t),65.756064668
1990,METALES PESADOS,Transporte por carretera,"PM2,5 (t)",20789.198571999998
1990,METALES PESADOS,Transporte por carretera,PM10 (t),23117.397977
1990,METALES PESADOS,Transporte por carretera,PST (t),26365.056481000003
1990,METALES PESADOS,Transporte por carretera,BC (t),0.0
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,As (t),0.30070640000000004
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,Cd (t),0.06676941038585678
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,Cr (t),0.3337057749292838
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,Cu (t),6.187488743595652
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,Hg (t),0.1087064
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,Ni (t),12.383385875700998
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,Pb (t),0.2814128
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,Se (t),0.5974537303858568
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,Zn (t),4.829877141585677
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,"PM2,5 (t)",31.668885929283856
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,PM10 (t),31.668885929283856
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,PST (t),31.668885929283856
1990,METALES PESADOS,Otros modos de transporte y maquinaria móvil,BC (t),0.0
1990,METALES PESADOS,Tratamiento y eliminación de residuos,As (t),0.06564456799999999
1990,METALES PESADOS,Tratamiento y eliminación de residuos,Cd (t),0.28530041700000003
1990,METALES PESADOS,Tratamiento y eliminación de residuos,Cr (t),0.9342163790000002
1990,METALES PESADOS,Tratamiento y eliminación de residuos,Cu (t),1.341684244
1990,METALES PESADOS,Tratamiento y eliminación de residuos,Hg (t),3.4285878410000006
1990,METALES PESADOS,Tratamiento y eliminación de residuos,Ni (t),0.234754539
1990,METALES PESADOS,Tratamiento y eliminación de residuos,Pb (t),11.993741392
1990,METALES PESADOS,Tratamiento y eliminación de residuos,Se (t),0.014780967
1990,METALES PESADOS,Tratamiento y eliminación de residuos,Zn (t),19.562442396999998
1990,METALES PESADOS,Tratamiento y eliminación de residuos,"PM2,5 (t)",0.962244
1990,METALES PESADOS,Tratamiento y eliminación de residuos,PM10 (t),0.962244
1990,METALES PESADOS,Tratamiento y eliminación de residuos,PST (t),0.962244
1990,METALES PESADOS,Tratamiento y eliminación de residuos,BC (t),0.0
1990,METALES PESADOS,Agricultura,As (t),0.0
1990,METALES PESADOS,Agricultura,Cd (t),0.0
1990,METALES PESADOS,Agricultura,Cr (t),0.0
